Month,Sold,Entertainment,Fixed Expenses,Food,Savings,Emergency Savings,Saved Balance,Total Expenses,Inflation Rate,Seasonal Factor Entertainment,Seasonal Factor Fixed Expenses,Seasonal Factor Food,Seasonal Factor Savings,Seasonal Factor Emergency Savings,Seasonal Factor Saved Balance,Seasonal Factor Total Expenses,,
January,1293.55,365.93,754.54,292.48,202.72,301.25,1851.99,3145.54,0.03,1.12,0.84,0.94,1.13,0.91,0.9,1.15,,sum
February,823.94,357.43,789.07,980.77,295.75,94.36,1005.01,1828.95,0.03,1.03,0.81,0.84,1.19,0.95,1.18,1.04,,
March,783.76,717.08,401.49,422.28,136.82,153.76,2735.74,3519.5,0.03,0.82,0.96,1.01,1.08,1.02,0.93,0.82,,
April,500.42,466.45,812.58,226.62,378.07,83.07,4775.56,5275.98,0.04,1.19,1.19,0.91,1.08,0.9,0.85,1.03,,
May,1349.56,659.6,993.4,738.02,303.87,192.44,2619.81,3969.37,0.03,1.02,1.05,1.2,0.84,1.18,1,1.09,,
June,1204.09,152.53,696.41,127.36,425.82,247.75,1850.16,3054.25,0.02,0.93,1.16,1.15,1.2,0.96,0.87,0.98,,
July,720.21,627.84,1108.59,416.26,267.72,267.22,7961.6,8681.81,0.02,1.02,0.86,0.87,1.01,1.04,0.97,1.13,,
August,758.32,175.71,517.12,710.82,300.57,431.33,1966.96,2725.28,0.02,1.2,1.11,1.14,1.18,1.12,1.05,0.91,,
September,546.4,217.91,316.51,240.1,160.51,150.69,1027.6,1574,0.03,1.02,0.83,1.17,0.83,0.96,0.92,1.04,,
October,1159.14,688.75,1134.65,784.49,466.62,56.17,2815.14,3974.28,0.02,1.1,0.9,0.81,0.88,0.87,1.01,0.82,,
November,1235.48,391.86,817.53,785.55,354.99,464.58,1150.88,2386.36,0.03,1.1,1.03,0.95,0.8,1.05,1.19,0.91,,
December,523.2,155.65,232.25,499.85,127.34,488.28,7934.29,8457.49,0.04,0.95,0.87,0.97,1.14,1.14,1.06,1.13,,
January,902.35,794.665,1191.9975,1519.33,1589.33,1589.33,7946.65,8849,0.03,0.88233663,1.056021945,0.563853099,0.711131899,1.233409533,0.589575097,0.776791464,,
